   Start	 End	 Avg. ADC	 Charge	 Std. Error
       0	 100	-32.92969747	     0.0	75.15513974
     100	 200	-9.49222090	  1024.0	58.68934027
     200	 300	-18.66761512	  2048.0	55.86957206
     300	 400	-5.15520941	  3072.0	39.69973668
     400	 500	-5.09519495	  4096.0	43.12937952
     500	 600	0.65426351	  5120.0	33.67882740
     600	 700	2.13687812	  6144.0	38.37328364
     700	 800	14.43194361	  7168.0	19.86798853
     800	 900	19.56608345	  8192.0	15.16846240
     900	1000	19.30740416	  9216.0	16.84876300
    1000	1100	24.78572523	 10240.0	19.49663775
    1100	1200	28.06422417	 11264.0	25.47325267
    1200	1300	29.30994666	 12288.0	27.58380134
    1300	1400	35.93399880	 13312.0	13.11323259
    1400	1500	37.76394271	 14336.0	21.71658080
    1500	1600	38.02407436	 15360.0	26.48489607
    1600	1700	37.54441333	 16384.0	33.52152348
    1700	1800	41.21809661	 17408.0	32.29789032
    1800	1900	45.41106446	 18432.0	27.18283699
    1900	2000	32.88417768	 19456.0	57.09896323
    2000	2100	49.84390217	 20480.0	29.62231471
    2100	2200	66.03733578	 21504.0	9.88610358
    2200	2300	52.04751869	 22528.0	37.45061220
    2300	2400	62.59113581	 23552.0	23.34173483
    2400	2500	67.78114396	 24576.0	21.03835220
    2500	2600	60.26327212	 25600.0	38.70187726
    2600	2700	76.85147989	 26624.0	13.89279806
    2700	2800	66.71209418	 27648.0	35.27336337
    2800	2900	75.87640144	 28672.0	23.31688366
    2900	3000	80.48780228	 29696.0	25.29305190
    3000	3100	80.33722966	 30720.0	31.98561320
    3100	3200	84.37401569	 31744.0	28.17298254
