 #Channel	Pedestal	Noise
       0	531.133390	9.269387
       1	526.597680	8.958321
       2	528.460790	9.094109
       3	532.631020	9.056106
       4	528.650790	9.187547
       5	528.063280	9.233006
       6	523.802770	9.233100
       7	523.945340	9.217284
       8	521.234770	9.282299
       9	529.934610	9.284085
      10	526.132820	9.282097
      11	525.220870	9.274005
      12	522.882930	9.332252
      13	524.837660	9.319441
      14	522.402460	9.367930
      15	523.842750	9.283477
      16	526.931630	9.402845
      17	524.388590	9.399427
      18	521.333590	9.394137
      19	523.221880	9.369278
      20	526.629370	9.469262
      21	522.871290	9.477851
      22	523.007300	9.457789
      23	518.537140	9.407050
      24	526.354460	9.507056
      25	523.524780	9.549579
      26	522.917590	9.499744
      27	522.767720	9.485882
      28	524.595650	9.590984
      29	521.631590	9.585682
      30	520.431180	9.608202
      31	521.130190	9.566093
      32	519.145820	9.601155
      33	522.526590	9.547034
      34	516.147870	29.738418
      35	519.442980	62.622689
      36	517.014420	52.269745
      37	522.108180	46.951572
      38	519.551160	44.573641
      39	525.243850	44.504406
      40	522.931430	43.473260
      41	519.724590	43.784960
      42	519.325400	43.113193
      43	519.007910	43.580999
      44	521.079270	43.222440
      45	522.045290	43.812974
      46	521.518640	43.166620
      47	523.264760	43.826620
      48	525.578570	43.107811
      49	521.582600	43.653948
      50	519.954210	43.003178
      51	518.827310	43.636570
      52	518.740040	43.037820
      53	517.487330	43.403407
      54	519.926030	42.966349
      55	524.887400	43.472969
      56	523.934960	42.863456
      57	522.725870	43.357026
      58	523.030680	42.834325
      59	519.042880	43.372551
      60	524.261980	42.837678
      61	523.191810	43.091163
      62	518.671270	42.887819
      63	521.646870	43.320108
      64	522.406590	42.809438
      65	524.948250	43.191208
      66	519.696110	42.607398
      67	524.491020	43.416252
      68	522.361960	42.710503
      69	520.140190	43.156242
      70	525.038490	42.690328
      71	522.069670	43.234094
      72	523.723150	42.868098
      73	525.097400	43.026158
      74	523.133340	42.771678
      75	526.199550	43.208755
      76	524.160800	42.716732
      77	525.305830	43.301139
      78	524.102480	42.879180
      79	524.898400	43.139867
      80	524.550050	42.761399
      81	524.458650	43.074263
      82	523.602360	42.571423
      83	521.192630	43.355017
      84	524.304890	42.766717
      85	521.660230	43.239020
      86	521.208540	42.556424
      87	523.084530	43.169287
      88	525.360460	42.714717
      89	521.275640	43.375143
      90	520.665380	42.785328
      91	521.092960	43.291745
      92	521.207270	42.849029
      93	524.750500	43.337576
      94	520.089850	42.745760
      95	518.967560	43.230076
      96	523.574440	42.988394
      97	520.749220	43.178690
      98	524.462470	43.040008
      99	525.545280	43.008623
     100	525.213630	42.935203
     101	526.273690	43.065310
     102	528.526520	42.847471
     103	529.921100	43.230434
     104	529.434910	42.990586
     105	528.633120	43.220676
     106	526.144520	43.075907
     107	525.589980	43.399389
     108	527.193680	43.852369
     109	524.568760	60.369953
     110	527.766540	96.378501
     111	526.665190	50.527997
     112	531.573140	58.482577
